"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"QADA","QAD Inc.","20.13","$323.33M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qada",
"QADB","QAD Inc.","16.74","$268.88M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qadb",
"QCCO","QC Holdings, Inc.","1.86","$32.57M","2004","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/qcco",
"QCRH","QCR Holdings, Inc.","18.02","$143.12M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/qcrh",
"QGEN","Qiagen N.V.","23.24","$5.42B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/qgen",
"QIWI","QIWI plc","22.78","$1.19B","2013","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/qiwi",
"QKLS","QKL Stores, Inc.","2.2","$3.35M","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/qkls",
"QLIK","Qlik Technologies Inc.","30.56","$2.76B","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qlik",
"QLGC","QLogic Corporation","13.14","$1.16B","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/qlgc",
"QLTI","QLT Inc.","4.3","$220.1M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/qlti",
"QRVO","Qorvo, Inc.","67.69","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qrvo",
"QCOM","QUALCOMM Incorporated","74.505","$123.87B","1991","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/qcom",
"QLTY","Quality Distribution, Inc.","9.55","$267.96M","2003","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/qlty",
"QSII","Quality Systems, Inc.","16.09","$969.73M","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/qsii",
"QBAK","Qualstar Corporation","1.39","$17.03M","2000","Technology","Electronic Components","http://www.nasdaq.com/symbol/qbak",
"QLYS","Qualys, Inc.","38.11","$1.27B","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qlys",
"QTWW","Quantum Fuel Systems Technologies Worldwide, Inc.","2.72","$63.31M","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/qtww",
"QRHC","Quest Resource Holding Corporation.","1.46","$162.94M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/qrhc",
"QUIK","QuickLogic Corporation","2.9","$161.99M","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/quik",
"QDEL","Quidel Corporation","28.21","$970.73M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/qdel",
"QNST","QuinStreet, Inc.","5.76","$255.67M","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/qnst",
