Symbol,Date,Open,High,Low,Close,Volume
SG4J,06-Jan-2015,275.44,277.04,261.79,263.83,0
SG5A,06-Jan-2015,385.1,390.45,376.5,379.18,0
SG5B,06-Jan-2015,534.63,542.06,522.69,526.41,0
SG5C,06-Jan-2015,700.97,711.86,700.97,709.94,0
SG5D,06-Jan-2015,101.09,102.66,101.09,102.38,0
SG5E,06-Jan-2015,653.18,663,652.8,661.15,0
SG5F,06-Jan-2015,379.91,384.57,378.38,381.39,0
SG5G,06-Jan-2015,35.55,35.99,35.41,35.69,0
SG5H,06-Jan-2015,367.15,371.65,365.68,368.58,0
SG5I,06-Jan-2015,212.43,214,207.49,209.64,0
SG5J,06-Jan-2015,467.51,474.01,457.07,460.32,0
SG6A,06-Jan-2015,866.61,872.8,846.44,855.21,0
SG6B,06-Jan-2015,182.44,183.05,181.17,181.44,0
SG6C,06-Jan-2015,1243.18,1247.37,1234.56,1236.37,0
SG6D,06-Jan-2015,191.78,197.08,191.78,193.78,0
SG6E,06-Jan-2015,38.05,39.1,38.05,38.45,0
SG6F,06-Jan-2015,52.84,54.3,52.84,53.39,0
SG6G,06-Jan-2015,276.41,279.19,275.36,276.34,0
SG6H,06-Jan-2015,180.76,182.57,180.07,180.71,0
SG6I,06-Jan-2015,309.02,312.12,307.84,308.93,0
SG6J,06-Jan-2015,233.17,234.89,227.74,230.1,0
SG7A,06-Jan-2015,26.56,26.58,25.97,26.11,0
SG7B,06-Jan-2015,190.44,190.56,186.21,187.23,0
SG7C,06-Jan-2015,386.75,387.76,383.33,384.42,0
SG7D,06-Jan-2015,244.72,245.23,242.44,243.11,0
SG7E,06-Jan-2015,2526,2531.24,2502.47,2509.42,0
SG7F,06-Jan-2015,567.32,568.6,560.66,566.63,0
SG7G,06-Jan-2015,421.82,422.32,416.43,420.87,0
SG7H,06-Jan-2015,4354.33,4360.87,4300.01,4345.82,0
SG7I,06-Jan-2015,231.2,231.32,227.66,229.54,0
SG7J,06-Jan-2015,117.2,117.28,114.6,115.22,0
SG8A,06-Jan-2015,134.93,138.35,131.66,137.55,0
SG8B,06-Jan-2015,24.63,25.25,24.03,25.11,0
SG8C,06-Jan-2015,44.02,45.14,42.95,44.88,0
SG8D,06-Jan-2015,243.49,248.71,236.75,244.5,0
SG8E,06-Jan-2015,216.11,220.75,210.13,217.01,0
SG8F,06-Jan-2015,398.04,406.57,387.01,399.69,0
SG8G,06-Jan-2015,207.02,208.23,206.89,207.52,0
SG8H,06-Jan-2015,361.75,363.93,361.53,362.64,0
SG8I,06-Jan-2015,2136.98,2149.52,2135.56,2142.09,0
SG8J,06-Jan-2015,2387.5,2387.92,2350.1,2369.53,0
SG9A,06-Jan-2015,72.99,73.27,71.27,71.63,0
SG9B,06-Jan-2015,117.98,118.44,115.2,115.78,0
SG9C,06-Jan-2015,409.82,411.5,400.79,402.59,0
SG9D,06-Jan-2015,462.89,464.25,452.16,454.19,0
SG9E,06-Jan-2015,4738.21,4752.06,4628.35,4649.07,0
SG9F,06-Jan-2015,170.65,171.46,166.85,167.63,0
SG9G,06-Jan-2015,101.98,102.35,99.6,100.06,0
SG9H,06-Jan-2015,840.58,843.6,820.89,824.74,0
SG9I,06-Jan-2015,185.04,186.15,177.04,178.57,0
SG9J,06-Jan-2015,191.62,192.6,187.32,188.27,0
SGAA,06-Jan-2015,1895.81,1905.6,1889.48,1896.01,0
SGAB,06-Jan-2015,1894.68,1911.27,1888.11,1897.92,0
SGAC,06-Jan-2015,4228.97,4247.11,4197.42,4214.39,0
SGAD,06-Jan-2015,4226.21,4255.07,4193.19,4218.63,0
SGCC,06-Jan-2015,233.66,234.75,228.93,229.95,0
SGCR,06-Jan-2015,134.67,135.27,134.5,134.95,0
SGDO,06-Jan-2015,149.08,149.08,147.26,147.51,0
SGEI,06-Jan-2015,654.43,654.43,649.02,651.16,0
SGEP,06-Jan-2015,629.29,629.29,624.09,626.15,0
SGET,06-Jan-2015,283.48,283.74,278.89,279.63,0
SGEY,06-Jan-2015,550.87,551.15,546.08,548.63,0
SGIA,06-Jan-2015,223.33,224.92,219.12,220.56,0
SGIB,06-Jan-2015,407.76,409,399.76,402.09,0
SGIC,06-Jan-2015,785.34,787.67,766.67,772.32,0
SGID,06-Jan-2015,377.82,379.72,368.85,371.34,0
SGIE,06-Jan-2015,364.3,364.7,357.98,361.18,0
SGIF,06-Jan-2015,153.92,154.1,150.79,151.3,0
SGIG,06-Jan-2015,585.85,587.12,572.35,578.7,0
SGIH,06-Jan-2015,346.66,347.64,336.53,338.17,0
SGIR,06-Jan-2015,124.96,125.47,124.48,124.99,0
SGJ,06-Jan-2015,174.71,176.03,168.27,169.54,0
SGK,06-Jan-2015,325.3,330.13,324.85,328.17,0
SGLE,06-Jan-2015,200.45,200.64,197.21,197.73,0
SGLN,06-Jan-2015,179.72,179.85,176.27,177.62,0
SGLS,06-Jan-2015,164.15,164.26,161,162.23,0
SGMA,06-Jan-2015,181.04,181.78,180.35,181.09,0
SGME,06-Jan-2015,1175.96,1179.88,1171.1,1171.5,0
SGMU,06-Jan-2015,954.17,955.92,949.17,949.17,0
SGNC,06-Jan-2015,115.57,115.63,113.82,114.36,0
SGNX,06-Jan-2015,141.92,141.96,139.76,140.44,0
SGON,06-Jan-2015,355.64,355.64,351.27,351.87,0
SGP,06-Jan-2015,1583.37,1610.12,1583.37,1605.9,0
SGPA,06-Jan-2015,203.05,203.95,202.8,203.48,0
SGPG,06-Jan-2015,152.54,155.03,152.35,154.13,0
SGPP,06-Jan-2015,86.47,86.78,84.63,85,0
SGPR,06-Jan-2015,67.46,68.57,67.38,68.17,0
SGPT,06-Jan-2015,147.93,148.46,144.78,145.42,0
SGQA,06-Jan-2015,1283.15,1287.9,1224.86,1235.42,0
SGQB,06-Jan-2015,188.3,189.58,180.84,182.19,0
SGQC,06-Jan-2015,361.69,363.42,346.66,349.25,0
SGQD,06-Jan-2015,1344.24,1350.7,1288.39,1298.03,0
SGQE,06-Jan-2015,167.93,170.71,167.9,170.23,0
SGQF,06-Jan-2015,1489.51,1514.08,1489.29,1509.91,0
SGQG,06-Jan-2015,397.69,399.04,391.91,393.33,0
SGQH,06-Jan-2015,270.74,271.44,266.59,267.55,0
SGQI,06-Jan-2015,2794.47,2801.68,2751.68,2761.59,0
SGQJ,06-Jan-2015,345.25,346.53,329.56,332.4,0
SGRC,06-Jan-2015,105.35,106.09,105.29,105.81,0
SGRE,06-Jan-2015,87.71,88.33,87.66,88.09,0
SGRG,06-Jan-2015,39.52,40.17,39.47,39.94,0
SGRM,06-Jan-2015,122.37,122.78,121.7,122.55,0
SGRT,06-Jan-2015,107.31,109.31,107.12,108.68,0
SGSA,06-Jan-2015,791.65,815.67,789.79,812.35,0
SGSB,06-Jan-2015,64.99,66.98,64.83,66.69,0
SGSC,06-Jan-2015,576.67,594.52,575.31,591.75,0
SGSD,06-Jan-2015,414.98,419.55,412.6,419.15,0
SGSE,06-Jan-2015,303.08,304.47,296.74,298.09,0
SGSF,06-Jan-2015,453.28,458.38,450.68,457.84,0
SGSG,06-Jan-2015,4682.24,4733.76,4655.36,4729.28,0
